Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-1,Unusual access pattern to customer data records,Facilities,Thor,Iron Man,Avengers,Service A,Closed,Low,Low,Medium,Medium,2025-01-01T14:47:48.000000,2025-01-01T23:41:57.000000,2025-01-02T08:26:22.000000,0,Wednesday,1,8.9025,8.740277777777777,17.642777777777777,0
CR-2,Malicious JavaScript detected on visited webpage,Failure,Michal,Jan,Matrix,Service A,Closed,Medium,Low,High,Medium,2025-01-01T21:39:29.000000,2025-01-02T00:43:29.000000,2025-01-02T11:15:31.000000,1,Wednesday,0,3.066666666666667,10.533888888888889,13.600555555555555,0
CR-3,Malicious JavaScript detected on visited webpage,Data,Martin,Thor,Matrix,Service B,Closed,High,Low,High,High,2025-01-01T19:52:15.000000,2025-01-02T03:07:16.000000,2025-01-02T15:24:33.000000,1,Wednesday,0,7.250277777777778,12.288055555555555,19.538333333333334,0
CR-4,Email forwarding rule created without user knowledge,Complaint,Michal,Michal,Matrix,Service C,Closed,Low,Low,Low,Low,2025-01-01T09:57:13.000000,2025-01-01T16:28:27.000000,2025-01-03T12:39:42.000000,1,Wednesday,0,6.520555555555555,44.1875,50.70805555555555,0
CR-5,Unusual administrative activity on domain controller,Software,Thor,Thor,Avengers,Service B,In Progress,Medium,Low,Medium,High,2025-01-01T17:55:51.000000,2025-01-01T20:44:49.000000,,0,Wednesday,1,2.8161111111111112,0.0,0.0,0
CR-6,Unusual access pattern to customer data records,Data,Martin,Captain America,Matrix,Service A,Closed,High,Medium,High,High,2025-01-01T17:14:59.000000,2025-01-01T23:58:13.000000,2025-01-03T18:25:37.000000,1,Wednesday,0,6.720555555555555,42.45666666666666,49.17722222222222,1
CR-7,Blocked attempt to upload sensitive data to cloud storage,Hardware,Martin,Thor,Matrix,Service C,On Hold,Low,Medium,High,Low,2025-01-01T20:51:26.000000,,,1,Wednesday,0,0.0,0.0,0.0,0
CR-8,Blocked attempt to upload sensitive data to cloud storage,Software,Captain America,Michal,Avengers II,Service B,Closed,High,Medium,Medium,High,2025-01-01T21:55:33.000000,2025-01-01T23:31:46.000000,2025-01-03T09:57:52.000000,1,Wednesday,0,1.603611111111111,34.435,36.03861111111111,1
CR-9,Unexpected configuration change on security appliance,Data,Michal,Martin,Avengers II,Service C,Closed,High,Low,Low,High,2025-01-01T18:47:37.000000,2025-01-01T21:59:41.000000,2025-01-03T05:59:21.000000,0,Wednesday,1,3.201111111111111,31.994444444444444,35.19555555555556,0
CR-10,Unapproved external USB storage device connected,Failure,Michal,Martin,Avengers,Service A,Closed,Medium,Low,Low,High,2025-01-01T23:36:18.000000,2025-01-02T01:45:38.000000,2025-01-03T16:23:44.000000,0,Wednesday,1,2.1555555555555554,38.635,40.79055555555556,0
