Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-1,Critical system alert: Root access attempted on production server.,Facilities,Peter,Captain America,Avengers II,Service C,Closed,High,Medium,Medium,High,2025-01-01T12:10:25.000000,2025-01-01T14:58:41.000000,2025-01-03T04:59:57.000000,1,Wednesday,0,2.8044444444444445,38.02111111111111,40.82555555555555,1,2025-01
CR-2,Unauthorized device connected: MAC address not whitelisted.,Hardware,Thor,Iron Man,Matrix,Service B,New,High,High,Low,High,2025-01-01T01:03:54.000000,,,1,Wednesday,0,,,,0,2025-01
CR-3,Security patch missing: Update not applied on critical server.,Hardware,Michal,Captain America,Matrix,Service B,Closed,Medium,High,Low,Low,2025-01-01T18:19:52.000000,2025-01-02T03:07:39.000000,2025-01-03T18:03:32.000000,0,Wednesday,1,8.796388888888888,38.93138888888889,47.727777777777774,1,2025-01
CR-4,Breach alert: Privileged credentials exposed.,Complaint,Michal,Peter,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-01-01T05:34:18.000000,2025-01-01T14:14:13.000000,2025-01-02T08:41:19.000000,1,Wednesday,0,8.665277777777778,18.451666666666668,27.116944444444446,0,2025-01
CR-5,SOC analyst triggered investigation for suspicious server activity.,Network,Captain America,Jan,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-01-01T08:07:15.000000,2025-01-01T15:27:44.000000,2025-01-02T07:00:17.000000,0,Wednesday,1,7.341388888888889,15.5425,22.88388888888889,0,2025-01
CR-6,Network scanning tool triggered security alert.,Facilities,Peter,Peter,Avengers II,Service B,Closed,High,High,High,Low,2025-01-01T19:28:11.000000,2025-01-02T01:29:09.000000,2025-01-03T16:05:17.000000,0,Wednesday,1,6.016111111111111,38.602222222222224,44.61833333333333,1,2025-01
CR-7,Suspicious login activity detected: High volume of logins from Device B.,Software,Iron Man,Michal,Avengers II,Service A,Closed,Low,High,High,Medium,2025-01-01T18:07:54.000000,2025-01-01T20:28:31.000000,2025-01-02T11:09:50.000000,1,Wednesday,0,2.343611111111111,14.688611111111111,17.032222222222224,1,2025-01
CR-8,Unscheduled file deletion detected on shared drive.,Facilities,Martin,Captain America,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-01-01T09:26:29.000000,2025-01-01T11:46:22.000000,2025-01-01T16:38:35.000000,1,Wednesday,0,2.3313888888888887,4.870277777777778,7.201666666666666,0,2025-01
CR-9,Network issue: Unable to connect to external API.,Failure,Peter,Peter,Avengers II,Service C,New,High,Low,High,Medium,2025-01-01T23:49:49.000000,,,0,Wednesday,1,,,,0,2025-01
CR-10,Database schema corruption: Unable to read or query data tables.,Hardware,Thor,Iron Man,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-01T01:30:39.000000,2025-01-01T07:40:02.000000,2025-01-01T15:56:26.000000,0,Wednesday,1,6.1563888888888885,8.273333333333333,14.429722222222223,0,2025-01
