words,amount
login attempt,1417
unauthorized attempt,1412
created without,1374
attempt access,1357
activity detected,970
authentication attempts,950
suspicious login,936
access pattern,933
remote access,933
account used,927
detected endpoint,918
suspicious authentication,918
password reset,916
multiple failed,903
policy violation,888
device connected,859
installation unapproved,504
unapproved software,504
unauthorized installation,504
detected workstation,501
powershell activity,501
suspicious powershell,501
attempt upload,492
blocked attempt,492
cloud storage,492
data cloud,492
sensitive data,492
upload sensitive,492
known malicious,490
malicious domain,490
outbound traffic,490
suspicious outbound,490
traffic known,490
access high,487
blocked access,487
certificate validation,487
failure secure,487
high risk,487
proxy blocked,487
risk website,487
secure connection,487
validation failure,487
web proxy,487
attempt disable,482
disable endpoint,482
endpoint protection,482
abnormal outbound,481
dns requests,481
inactive account,481
outbound dns,481
requests single,481
single host,481
used login,481
attempts external,480
countries within,480
different countries,480
failed vpn,480
logins different,480
multiple logins,480
short timeframe,480
vpn authentication,480
within short,480
access security,479
security logs,479
desktop tool,477
remote desktop,477
tool detected,477
unsupported remote,477
attempt using,473
expired credentials,473
using expired,473
abnormal api,472
api access,472
connection outside,472
external client,472
normal working,472
outside normal,472
pattern external,472
unusual vpn,472
vpn connection,472
working hours,472
access request,471
access session,471
account password,471
application reviewed,471
behavior detected,471
compromised account,471
contained endpoint,471
detected contained,471
ransomware behavior,471
request restricted,471
reset user,471
restricted application,471
session initiated,471
unapproved remote,471
user notified,471
attempts database,470
data transfer,470
database server,470
detected public,470
public network,470
transfer detected,470
unencrypted data,470
account lockout,469
detected server,469
due repeated,469
encryption activity,469
failed authentication,469
file encryption,469
lockout due,469
repeated failed,469
unusual file,469
devices reporting,467
malware signature,467
multiple devices,467
reporting malware,467
mobile device,464
security policy,464
violation mobile,464
account created,463
attachment blocked,463
attempt unknown,463
blocked email,463
email gateway,463
malicious attachment,463
new privileged,463
privileged account,463
proper approval,463
unknown address,463
without proper,463
access gateway,462
alerts single,462
attack detected,462
brute force,462
change request,462
detected remote,462
force attack,462
network share,462
new network,462
security alerts,462
share created,462
single user,462
spike security,462
unusual spike,462
without change,462
customer data,461
data records,461
detected office,461
macro detected,461
malicious macro,461
office document,461
pattern customer,461
unusual access,461
blocked port,457
detected blocked,457
firewall detected,457
port scanning,457
scanning activity,457
decommissioned device,456
detected logs,456
device detected,456
login decommissioned,456
change security,455
configuration change,455
security appliance,455
unexpected configuration,455
access review,454
identified anomalies,454
privileged user,454
review identified,454
user access,454
data download,453
detected visited,453
download volume,453
file server,453
javascript detected,453
malicious javascript,453
unusual data,453
visited webpage,453
volume file,453
access shared,452
network drive,452
shared network,452
unauthorized access,452
access system,451
antivirus detected,451
detected quarantined,451
endpoint antivirus,451
quarantined malware,451
blocked exploit,450
endpoint reported,450
exploit attempts,450
repeated blocked,450
reported repeated,450
application control,449
blocked application,449
email forwarding,449
execution blocked,449
file execution,449
forwarding rule,449
rule created,449
suspicious file,449
user knowledge,449
without user,449
authentication token,448
detected network,448
email reported,448
keys workstation,448
legacy protocol,448
modification registry,448
network traffic,448
phishing email,448
protocol usage,448
registry keys,448
reported employee,448
reuse detected,448
suspicious modification,448
token reuse,448
unsupported legacy,448
usage detected,448
email account,446
external messages,446
large volume,446
send large,446
used send,446
volume external,446
multiple password,445
requests user,445
reset requests,445
added whitelist,443
external added,443
whitelist without,443
without approval,443
application communicating,442
communicating external,442
external server,442
internal segment,442
network scan,442
originating internal,442
scan originating,442
segment detected,442
unapproved application,442
account detected,441
administrator account,441
local administrator,441
new local,441
attempt production,440
escalation attempt,440
privilege escalation,440
production server,440
external usb,439
storage device,439
unapproved external,439
usb storage,439
activity domain,436
administrative activity,436
domain controller,436
unusual administrative,436
anonymization service,430
service detected,430
traffic anonymization,430
unusual traffic,430
access privileged,427
denied attempt,427
management console,427
privileged management,427
anomalous login,426
login pattern,426
pattern service,426
service account,426
cloud service,424
connection third,424
data loss,424
loss prevention,424
party cloud,424
prevention policy,424
third party,424
unapproved connection,424
violation detected,424
attempts detected,423
detected user,423
failed login,423
login attempts,423
user account,423
connected corporate,420
corporate without,420
new device,420
without registration,420
attempted login,410
default system,410
login using,410
system credentials,410
using default,410
