Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CHG-0000001,Device configuration updated,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Medium,High,Medium,Closed,Low,2025-01-01T23:51:33.000000,Wednesday,2025-01-02T06:51:33.000000,2025-01-02T22:51:33.000000,3,7.0,16.0,23.0,0
CHG-0000002,Backup schedule updated,Data,Captain America,Captain America,Avengers,Service E,Low,Low,Low,Closed,Critical,2025-01-01T16:17:28.000000,Wednesday,2025-01-01T22:17:28.000000,2025-01-02T16:17:28.000000,1,6.0,18.0,24.0,1
CHG-0000003,Service dependency changed,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,High,Low,Low,Closed,High,2025-01-01T18:58:55.000000,Wednesday,2025-01-01T22:58:55.000000,2025-01-02T15:58:55.000000,3,4.0,17.0,21.0,1
CHG-0000004,Network route adjusted,Data,Loki,Loki,Avengers,Service A,Low,High,Medium,Closed,Medium,2025-01-02T19:03:58.000000,Thursday,2025-01-03T03:03:58.000000,2025-01-03T16:03:58.000000,5,8.0,13.0,21.0,0
CHG-0000005,Access policy reviewed,Complaint,Hulk,Hulk,Avengers,Service E,Low,Medium,Medium,Closed,Medium,2025-01-02T19:29:03.000000,Thursday,2025-01-02T22:29:03.000000,2025-01-04T08:29:03.000000,2,3.0,34.0,37.0,1
CHG-0000006,Service port changed,Facilities,John Wick,John Wick,Matrix,Service C,Low,Medium,Medium,Closed,Low,2025-01-02T12:23:47.000000,Thursday,2025-01-02T20:23:47.000000,2025-01-04T05:23:47.000000,1,8.0,33.0,41.0,0
CHG-0000007,Application deployed,Facilities,Captain America,Captain America,Avengers,Service D,Low,Low,Medium,Closed,High,2025-01-03T02:55:59.000000,Friday,2025-01-03T04:55:59.000000,2025-01-04T11:55:59.000000,3,2.0,31.0,33.0,1
CHG-0000008,Resource allocation changed,Access,Shang Chi,Shang Chi,Avengers II,Service C,Medium,Low,High,Closed,Medium,2025-01-03T21:39:01.000000,Friday,2025-01-03T23:39:01.000000,2025-01-04T23:39:01.000000,1,2.0,24.0,26.0,0
CHG-0000009,Backup schedule updated,Hardware,Iron Man,Iron Man,Avengers,Service C,Medium,High,Medium,Closed,Medium,2025-01-03T00:25:29.000000,Friday,2025-01-03T04:25:29.000000,2025-01-03T21:25:29.000000,2,4.0,17.0,21.0,0
CHG-0000010,User profile updated,Complaint,Iron Man,Iron Man,Avengers,Service B,Medium,High,Medium,Closed,High,2025-01-03T20:04:18.000000,Friday,2025-01-03T23:04:18.000000,2025-01-04T09:04:18.000000,0,3.0,10.0,13.0,0
CHG-0000011,Application feature enabled,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,High,Medium,High,Closed,High,2025-01-04T07:47:34.000000,Saturday,2025-01-04T14:47:34.000000,2025-01-05T03:47:34.000000,5,7.0,13.0,20.0,0
