words,amount
certificate renewal,12
remote board,12
board firmware,9
firmware bios,9
idrac remote,9
grant access,8
prod environment,8
update idrac,8
edge routing,6
execute hardening,6
firewall optimization,6
hardening measures,6
instances post,6
measures sql,6
optimization edge,6
palo alto,6
performance post,6
post security,6
post testing,6
prod servers,6
routing performance,6
security audit,6
server instances,6
sql server,6
access backup,5
adjust volume,5
alignment cater,5
analytics platform,5
avatar prod,5
backup recovery,5
backups production,5
cater towards,5
changes incompatible,5
database backups,5
dependencies imk,5
discoveries prepare,5
enable database,5
env discoveries,5
environment vaa,5
fixes mid,5
hybrid env,5
imk analytics,5
incompatible fixes,5
job runner,5
machine nodes,5
mid stage,5
migration alignment,5
nodes locations,5
non prod,5
patch remote,5
prepare step,5
production environment,5
production machine,5
recovery production,5
remote job,5
renewal avatar,5
runner script,5
script dependencies,5
stage migration,5
step ongoing,5
subnet migration,5
threat application,5
towards hybrid,5
updating idrac,5
vaa threat,5
volume changes,5
vul net,5
adjustments new,4
board core,4
certificate adjustments,4
cluster prod,4
configuration changes,4
core cluster,4
daemon reload,4
data environment,4
database pipelines,4
devices market,4
idrac board,4
legacy switches,4
market data,4
modern devices,4
new virtual,4
redis cluster,4
replace legacy,4
switches modern,4
systemctl daemon,4
virtual database,4
access crontab,3
access rights,3
across remote,3
additional remote,3
alto setup,3
appliances compliance,3
application web,3
applications via,3
banking prod,3
bios updates,3
board ssl,3
case upgrade,3
cert renewal,3
changes monitoring,3
check performance,3
cluster monitoring,3
compliance wireless,3
configuration check,3
configurations development,3
container update,3
cso resiliency,3
database configuration,3
database servers,3
database workloads,3
development servers,3
digital banking,3
enable additional,3
execution systemctl,3
external saas,3
external web,3
failure response,3
finance application,3
firewall rule,3
httpd tools,3
improvements prod,3
install httpd,3
install redis,3
install rsync,3
ios software,3
japanese production,3
monitoring processors,3
monitoring tools,3
network appliances,3
onboarding external,3
ontap version,3
patch network,3
patch prod,3
performance improvements,3
processors redis,3
prod cso,3
prod systems,3
production systems,3
prototype servers,3
proxy configurations,3
redis prototype,3
reload patch,3
remote routing,3
remote virtual,3
renewal digital,3
request temporary,3
restart tkmweb,3
rights finance,3
routing japanese,3
rule onboarding,3
saas applications,3
server bios,3
servers container,3
shard servers,3
software update,3
ssl cert,3
storage array,3
temporary access,3
test external,3
tkmweb database,3
tools shard,3
update database,3
update failure,3
updates across,3
upgrade ontap,3
via palo,3
virtual hosts,3
web proxy,3
wireless protocols,3
workloads non,3
access provisioning,2
aci switchports,2
acl rules,2
across european,2
agent installation,2
allocation access,2
alto gatekeeping,2
array node,2
availability environment,2
aws hosted,2
capacity ongoing,2
certificate update,2
checks project,2
cisco wireless,2
complete ssl,2
configuration work,2
critical juniper,2
data endpoints,2
database full,2
deploy acl,2
edge metrics,2
european zones,2
expand edge,2
external office,2
firewall subnet,2
flex zeon,2
focused data,2
foundation checks,2
gatekeeping subnet,2
general purpose,2
high availability,2
high priority,2
high uptime,2
hosted general,2
increase capacity,2
initiate scheduled,2
install system,2
juniper network,2
metrics transitioning,2
monitoring scripts,2
net cisco,2
net critical,2
network patch,2
node reboot,2
office gateway,2
office gateways,2
office tenants,2
ongoing processing,2
palo flex,2
patch external,2
priority office,2
processing workload,2
project focused,2
provisioning office,2
purpose non,2
reboot resolve,2
relocation network,2
renewal request,2
request high,2
resize virtual,2
resolve high,2
rules high,2
san storage,2
scheduled san,2
scripts aws,2
ssl foundation,2
storage database,2
subnet allocation,2
subnet relocation,2
switchports configuration,2
system monitoring,2
tenants across,2
tiers roots,2
transitioning palo,2
update jugoslavska,2
update palo,2
uptime issue,2
virtual storage,2
wireless ios,2
work orders,2
zeon tiers,2
access gateways,1
additional saml,1
alto prisma,1
app onboarding,1
apply cisco,1
array data,1
authentication nodes,1
back routing,1
banking external,1
center increased,1
change took,1
changes disaster,1
cisco ios,1
cloud hosted,1
cluster high,1
compatibility issues,1
configuration change,1
connections work,1
corporate web,1
cso prod,1
data center,1
disaster recovery,1
dmz environment,1
emergency fall,1
enabled redis,1
execute systemctl,1
external app,1
fall back,1
fallback isolation,1
final access,1
firewall configuration,1
high throughput,1
hosted services,1
hosting final,1
imk productive,1
implementation targeting,1
increased redundancy,1
installation imk,1
isolation plan,1
longer expected,1
net apply,1
new storage,1
nodes dmz,1
onboarding radware,1
online banking,1
patch implementation,1
plan post,1
post palo,1
pra sha,1
prem environment,1
prisma failure,1
productive connections,1
provision new,1
radware prem,1
recovery validation,1
reload cso,1
renewal cloud,1
renewal sws,1
restart configuration,1
reverse fallback,1
routers pra,1
routing enabled,1
saml authentication,1
setup additional,1
sha tok,1
software patch,1
ssl certificate,1
sws corporate,1
taps installation,1
targeting compatibility,1
tok sites,1
took longer,1
update routers,1
validation testing,1
web hosting,1
work order,1
