words,amount
intermittent failures,283
network drives,195
recurring performance,187
multiple users,179
connectivity issues,178
deployment endpoints,123
failures software,123
random failures,123
software deployment,123
conferencing sessions,109
high latency,109
latency reported,109
recurring high,109
reported video,109
video conferencing,109
audio dropouts,107
call quality,107
intermittent voip,107
issues audio,107
quality issues,107
voip call,107
across servers,105
inconsistent synchronization,105
issues across,105
production reporting,105
recurring time,105
reporting databases,105
synchronization issues,105
synchronization production,105
time synchronization,105
freezing operating,104
operating system,104
random freezing,104
system virtual,104
virtual desktops,104
frequently web,103
occurring frequently,103
session timeouts,103
timeouts occurring,103
web application,103
account lockouts,102
frequent account,102
lockouts multiple,102
banking application,101
branches wan,101
cloud hosted,101
connection remote,101
core banking,101
degradation core,101
drives login,101
hosted applications,101
intermittent connectivity,101
issues cloud,101
loss mapped,101
mapped network,101
performance degradation,101
random loss,101
remote branches,101
unstable connection,101
application servers,100
automated file,100
disk space,100
failures automated,100
file transfer,100
recurring disk,100
shortages application,100
space shortages,100
transfer jobs,100
access archived,98
archived email,98
email system,98
failures print,98
inconsistent access,98
print server,98
printer spooler,98
recurring printer,98
service failures,98
spooler service,98
batch jobs,95
clear error,95
corruption user,95
errors scheduled,95
failing intermittently,95
frequent corruption,95
frequent errors,95
generation processes,95
intermittently without,95
jobs failing,95
profiles shared,95
report generation,95
scheduled batch,95
scheduled report,95
shared workstations,95
user profiles,95
without clear,95
access shared,94
authentication prompts,94
backup completion,94
behavior multi,94
business hours,94
certain file,94
completion certain,94
crm system,94
data synchronization,94
drives business,94
errors crm,94
factor authentication,94
file access,94
file shares,94
inconsistent behavior,94
multi factor,94
recurring errors,94
shared network,94
slow file,94
system data,94
unreliable backup,94
failures web,93
proxy authentication,93
web proxy,93
dns resolution,91
failures internal,91
internal hostnames,91
recurring dns,91
resolution failures,91
connecting external,90
external partner,90
failures connecting,90
partner systems,90
application behavior,89
automated updates,89
behavior automated,89
causing slow,89
cpu usage,89
database server,89
high cpu,89
inconsistent application,89
periodic high,89
server causing,89
slow queries,89
usage database,89
conflicts shared,88
disconnections peak,88
file version,88
frequent issues,88
frequent vpn,88
issues file,88
peak hours,88
shared drives,88
version conflicts,88
vpn disconnections,88
authentication failures,87
failures single,87
intermittent authentication,87
single sign,87
delays external,86
delivery delays,86
email delivery,86
external domains,86
intermittent email,86
issues storage,86
performance issues,86
storage system,86
access issues,85
application crashes,85
client workstations,85
crashes client,85
errors shared,85
inconsistent permission,85
intermittent access,85
issues web,85
permission errors,85
random application,85
shared folders,85
web portal,85
desktop sessions,84
issues remote,84
periodic issues,84
remote desktop,84
sessions reconnecting,84
domain users,83
failures specific,83
logon times,83
printer models,83
printing failures,83
recurring printing,83
slow logon,83
specific printer,83
times domain,83
unexplained slow,83
certificate errors,82
errors internal,82
hardware model,82
internal applications,82
random system,82
reboots specific,82
recurring ssl,82
specific hardware,82
ssl certificate,82
system reboots,82
calendar synchronization,80
email calendar,80
problems email,80
recurring problems,80
alerts delivery,78
coverage specific,78
failures monitoring,78
monitoring alerts,78
office area,78
periodic failures,78
specific office,78
unstable coverage,78
intermittent network,77
issues reported,77
network connectivity,77
reported multiple,77
intermittent login,76
issues password,76
login issues,76
password changes,76
application services,68
database application,68
disconnections database,68
random disconnections,68
