Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
SR-0000001,Request remote access enablement,Access,Iron Man,Iron Man,Avengers,Service C,New,Low,Medium,Medium,Low,2025-01-01T05:28:34.000000,,,5,Wednesday,,,,0,2025-01
SR-0000002,Request access to collaboration tool,Complaint,John Wick,John Wick,Matrix,Service C,Closed,Medium,Critical,High,High,2025-01-01T05:29:46.000000,2025-01-01T07:29:46.000000,2025-01-01T16:29:46.000000,5,Wednesday,2.0,9.0,11.0,1,2025-01
SR-0000003,Request temporary elevated permissions on device,Complaint,Thor,Thor,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T20:08:15.000000,2025-01-02T01:08:15.000000,2025-01-03T01:08:15.000000,4,Wednesday,5.0,24.0,29.0,0,2025-01
SR-0000004,Request setup of test environment for application,Software,Captain America,Captain America,Avengers,Service B,New,Low,High,High,High,2025-01-01T10:51:13.000000,,,4,Wednesday,,,,0,2025-01
SR-0000005,Request new conference call access details,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Low,Low,Low,2025-01-01T19:07:24.000000,2025-01-02T02:07:24.000000,2025-01-04T03:07:24.000000,1,Wednesday,7.0,49.0,56.0,1,2025-01
SR-0000006,Request access to internal information site,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T23:39:22.000000,2025-01-02T01:39:22.000000,2025-01-02T22:39:22.000000,2,Wednesday,2.0,21.0,23.0,0,2025-01
SR-0000007,Request access to a shared resource,Complaint,Batman,Batman,Matrix,Service A,Closed,Medium,Medium,Medium,Low,2025-01-01T09:55:23.000000,2025-01-01T12:55:23.000000,2025-01-02T15:55:23.000000,3,Wednesday,3.0,27.0,30.0,1,2025-01
SR-0000008,Request configuration change for application settings,Failure,Thor,Thor,Avengers,Service B,In Progress,High,Medium,Medium,Medium,2025-01-01T10:54:22.000000,2025-01-01T14:54:22.000000,,3,Wednesday,4.0,,,0,2025-01
SR-0000009,Request access to service management tool,Complaint,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,Low,2025-01-01T21:21:51.000000,2025-01-01T23:21:51.000000,2025-01-02T15:21:51.000000,4,Wednesday,2.0,16.0,18.0,1,2025-01
SR-0000010,Request user profile migration to new device,Hardware,John Wick,John Wick,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T03:15:36.000000,2025-01-01T06:15:36.000000,2025-01-02T06:15:36.000000,5,Wednesday,3.0,24.0,27.0,0,2025-01
SR-0000011,Request update of email signature settings,Access,John Cena,John Cena,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T17:47:29.000000,2025-01-01T23:47:29.000000,2025-01-02T21:47:29.000000,2,Wednesday,6.0,22.0,28.0,0,2025-01
SR-0000012,Request access to collaboration tool,Facilities,John Cena,John Cena,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-01T02:43:12.000000,2025-01-01T09:43:12.000000,2025-01-03T11:43:12.000000,5,Wednesday,7.0,50.0,57.0,1,2025-01
SR-0000013,Request change of shared mailbox ownership,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T16:28:31.000000,2025-01-01T20:28:31.000000,2025-01-02T02:28:31.000000,0,Wednesday,4.0,6.0,10.0,1,2025-01
SR-0000014,Request new authentication device or token,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T11:25:42.000000,2025-01-01T17:25:42.000000,2025-01-02T19:25:42.000000,1,Wednesday,6.0,26.0,32.0,1,2025-01
SR-0000015,Request change of time zone settings for account,Software,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,High,2025-01-01T23:40:12.000000,2025-01-02T02:40:12.000000,2025-01-02T22:40:12.000000,1,Wednesday,3.0,20.0,23.0,1,2025-01
SR-0000016,Request user profile migration to new device,Failure,Hulk,Hulk,Avengers,Service A,New,High,Medium,Medium,Medium,2025-01-01T11:37:14.000000,,,5,Wednesday,,,,0,2025-01
SR-0000017,Request activation of network connection at workspace,Data,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T16:31:25.000000,2025-01-01T20:31:25.000000,2025-01-02T22:31:25.000000,1,Wednesday,4.0,26.0,30.0,1,2025-01
SR-0000018,Request setup of email on user device,Complaint,Thor,Thor,Avengers,Service A,Closed,Low,High,Medium,High,2025-01-01T17:58:51.000000,2025-01-02T01:58:51.000000,2025-01-02T20:58:51.000000,0,Wednesday,8.0,19.0,27.0,1,2025-01
SR-0000019,Request remote access to internal application,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T15:38:28.000000,2025-01-01T20:38:28.000000,2025-01-02T19:38:28.000000,3,Wednesday,5.0,23.0,28.0,0,2025-01
SR-0000020,Request access to internal help and knowledge portal,Network,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,Medium,High,2025-01-01T21:52:20.000000,2025-01-02T04:52:20.000000,2025-01-02T11:52:20.000000,0,Wednesday,7.0,7.0,14.0,1,2025-01
SR-0000021,Request increase of mailbox storage,Access,Neo,Neo,Matrix,Service C,Closed,High,Medium,Low,Low,2025-01-01T10:53:32.000000,2025-01-01T12:53:32.000000,2025-01-02T00:53:32.000000,4,Wednesday,2.0,12.0,14.0,0,2025-01
SR-0000022,Request activation of network connection at workspace,Hardware,Thor,Thor,Avengers,Service A,New,Low,Critical,High,Medium,2025-01-01T17:26:08.000000,,,4,Wednesday,,,,0,2025-01
SR-0000023,Request access to data analysis tools,Complaint,Hulk,Hulk,Avengers,Service B,Closed,High,Low,Low,Low,2025-01-01T05:25:08.000000,2025-01-01T11:25:08.000000,2025-01-03T01:25:08.000000,5,Wednesday,6.0,38.0,44.0,0,2025-01
SR-0000024,Request configuration of project-specific tools,Hardware,Neo,Neo,Matrix,Service C,On Hold,Medium,Medium,Low,Medium,2025-01-01T04:08:37.000000,,,2,Wednesday,,,,0,2025-01
SR-0000025,Request unblocking of specific email attachment type,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,New,Low,Critical,High,High,2025-01-01T09:53:29.000000,,,4,Wednesday,,,,0,2025-01
