words,amount
unauthorized access,1114
database server,779
patch missing,776
server flagged,769
phishing email,768
production server,767
errors flagged,766
incident flagged,766
high priority,746
flagged privileged,734
cloud synchronization,707
arp spoofing,433
detected endpoint,433
endpoint network,433
network scans,433
spoofing detected,433
clustered anomalies,429
forecasting triggered,429
hours response,429
logs clustered,429
peak hours,429
response logs,429
triggered peak,429
workload forecasting,429
data exfiltration,428
exfiltration suspected,428
file transfer,428
high file,428
identified possible,428
possible data,428
transfer identified,428
connection database,423
detected connection,423
outage detected,423
service outage,423
analysis cluster,419
bottlenecks delayed,419
delayed response,419
performance bottlenecks,419
response analysis,419
connection attempt,418
handshake timed,418
instance connection,418
multi instance,418
ssl handshake,418
timed multi,418
disabled user,417
malware protection,417
protection disabled,417
user workstation,417
due unexpected,416
execution due,416
failed robot,416
order execution,416
robot order,416
timeout conditions,416
unexpected timeout,416
breach flagged,412
content management,412
cross routed,412
diagnostic monitors,412
flagged cross,412
management breach,412
routed traffic,412
traffic diagnostic,412
allocation errors,411
caused stoppage,411
due mismatched,411
entries logs,411
errors caused,411
flagged due,411
hostname errors,411
memory allocation,411
mismatched entries,411
multiple hostname,411
stoppage workload,411
workload scheduling,411
attempts logged,410
external endpoint,410
failed ping,410
logged external,410
ping attempts,410
repeated failed,410
missing production,405
production system,405
risk flagged,405
security patch,405
system risk,405
backup imports,404
corrupted backup,404
database rollback,404
due corrupted,404
failed due,404
rollback failed,404
assessment handling,400
authentication handshake,400
batches linked,400
detailed high,400
escalation batches,400
failed sso,400
flagged requiring,400
handling escalation,400
layer specifics,400
linked matrix,400
manual response,400
matrix revisions,400
multi stage,400
outdated authentication,400
priority assessment,400
process layer,400
queues overall,400
requiring multi,400
response process,400
revisions queues,400
specifics detailed,400
sso validation,400
stage manual,400
validation outdated,400
cloud instance,398
failed synchronization,398
flagged load,398
instance failed,398
load testing,398
prem cluster,398
reboot flagged,398
server reboot,398
synchronization prem,398
testing operations,398
access attempt,397
admin portal,397
attempt detected,397
detected admin,397
alert database,396
critical alert,396
overload detected,396
server overload,396
api calls,394
attempts detected,394
calls flagged,394
detected multiple,394
failed login,394
flagged system,394
high volume,394
login attempts,394
multiple locations,394
system overload,394
volume api,394
access flagged,391
detected nodes,391
encryption key,391
external production,391
flagged external,391
key mismatch,391
mismatch detected,391
