words,amount
cause analysis,311
root cause,311
storage volume,218
vulnerability psirt,215
unauthorized access,206
access external,203
critical vulnerability,140
fortinet critical,140
fortios ssl,140
ssl vpn,140
vpn psirt,140
vulmgt fortinet,140
vulnerability fortios,140
connection timeout,133
dmz firewall,133
firewall patch,133
timeout dmz,133
bad gateway,132
error bad,132
facing apis,132
frequent http,132
gateway observed,132
http error,132
observed public,132
public facing,132
documented breach,131
legacy ticketing,131
mismanagement documented,131
sla violation,131
system sla,131
ticketing system,131
violation mismanagement,131
authentication handshake,122
detected tls,122
enabled external,122
external endpoints,122
failure detected,122
handshake failure,122
tls enabled,122
apac region,120
connectivity issues,120
incident vpn,120
issues reported,120
region failover,120
reported apac,120
vpn connectivity,120
access intranet,116
certificate expiration,116
due ssl,116
intranet resources,116
resources due,116
ssl certificate,116
company hosted,115
connectivity company,115
critical issue,115
germany office,115
hosted microsoft,115
instances germany,115
issue connectivity,115
microsoft teams,115
office gateway,115
teams instances,115
alert flagged,113
analysis follow,113
cert alert,113
compromised segmentation,113
connection due,113
corporate web,113
database connection,113
due excessive,113
excessive transaction,113
failed database,113
flagged compromised,113
follow internal,113
impacting corporate,113
internal proxy,113
log growth,113
overload impacting,113
plan initiated,113
proxy overload,113
segmentation plan,113
transaction log,113
web traffic,113
escalation vulnerability,112
esxi privilege,112
high vmware,112
privilege escalation,112
vmware esxi,112
vulmgt high,112
access restricted,111
actions change,111
backup ingestion,111
datacenter failover,111
disconnected workloads,111
disk utilization,111
failover actions,111
financial systems,111
following datacenter,111
impacting backup,111
ingestion tasks,111
misalignment users,111
policy misalignment,111
reporting unauthorized,111
restricted financial,111
users reporting,111
utilization warning,111
volume impacting,111
warning storage,111
workloads following,111
api gateway,110
causing production,110
cloud api,110
dell emc,110
downtime logged,110
due high,110
emc poweredge,110
gateway throttling,110
google cloud,110
high system,110
intermittently unavailable,110
internal sharepoint,110
logged related,110
memory utilization,110
poweredge server,110
production downtime,110
reboot dell,110
related components,110
requests downtime,110
server causing,110
services intermittently,110
sharepoint services,110
system memory,110
throttling unauthorized,110
unauthorized requests,110
unavailable due,110
unexpected reboot,110
accessing gateways,109
connection errors,109
desktop connection,109
errors persist,109
persist users,109
remote desktop,109
users accessing,109
dependency conflicts,108
due package,108
external hosted,108
failed due,108
gateway resulting,108
hosted applications,108
outage secure,108
package dependency,108
partial outage,108
phase ubuntu,108
prepare phase,108
restricted access,108
resulting restricted,108
secure web,108
ubuntu upgrade,108
upgrade failed,108
web gateway,108
affecting batch,107
batch process,107
capacity full,107
full affecting,107
nearing capacity,107
process schedules,107
volume nearing,107
affecting cross,106
alert system,106
allocated storage,106
breakdown imk,106
communication breakdown,106
consuming allocated,106
cross datacenter,106
datacenter replication,106
dcn locations,106
disk space,106
due routing,106
imk dcn,106
locations due,106
logs consuming,106
major network,106
network outage,106
outage zone,106
replication readiness,106
routing rule,106
rule misconfiguration,106
space alert,106
system logs,106
zone affecting,106
accessing european,104
database query,104
degraded download,104
deployment malformed,104
download speeds,104
endpoints peak,104
erp system,104
european endpoints,104
experiencing degraded,104
financial erp,104
following high,104
high read,104
instance following,104
malformed sql,104
multiple database,104
observed instance,104
outage financial,104
peak hours,104
query timeouts,104
read spikes,104
speeds accessing,104
sql script,104
system deployment,104
timeouts observed,104
unexpected outage,104
users experiencing,104
allocate memory,103
analysis resolution,103
apache http,103
container redis,103
critical apache,103
degradation kubernetes,103
failover lnd,103
http server,103
kubernetes failover,103
memory service,103
mysql replicationlag,103
path traversal,103
plan service,103
redis instances,103
replicationlag deltatoohigh,103
resolution plan,103
server path,103
service container,103
service degradation,103
traversal vulnerability,103
unable allocate,103
vulmgt critical,103
apis intermittently,102
commerce customers,102
error commerce,102
gateway apis,102
intermittently showing,102
issue payment,102
payment gateway,102
showing error,102
analytics server,100
automated patching,100
azure hosted,100
cluster tgx,100
data latency,100
downtime azure,100
high data,100
hosted mysql,100
instance automated,100
latency observed,100
mysql instance,100
observed virtualized,100
patching prod,100
prod environment,100
server cluster,100
unplanned downtime,100
virtualized analytics,100
applying policy,99
authentication errors,99
cloud proxy,99
errors observed,99
observed applying,99
policy updates,99
proxy gateway,99
updates cloud,99
analysis network,95
causing unauthorized,95
connections disrupted,95
disrupted test,95
dln tbl,95
due kernel,95
external office,95
hat update,95
kernel module,95
module mismatch,95
multiple server,95
network connections,95
office environments,95
reboots red,95
red hat,95
restrictions causing,95
server reboots,95
tenant restrictions,95
test dln,95
update due,95
affecting rest,94
api integrations,94
application server,94
firewall upgrade,94
post firewall,94
rest api,94
server post,94
unreachable application,94
upgrade affecting,94
