words,amount
request create,2249
application access,1138
access internal,1134
team lead,1125
retention policy,1124
configuration update,625
gateway routing,625
internal voice,625
needed internal,625
update needed,625
voice gateway,625
account provisioning,617
cloud storage,617
provisioning upcoming,617
request cloud,617
storage account,617
upcoming project,617
finance department,615
internal sharepoint,615
request access,615
sharepoint site,615
site finance,615
calendar corporate,614
corporate outlook,614
holiday calendar,614
outlook accounts,614
public holiday,614
update public,614
email inbox,603
extended quota,603
quota shared,603
request extended,603
shared email,603
install python,602
libraries student,602
python libraries,602
request install,602
student laptops,602
add new,601
network department,601
new printer,601
printer network,601
request add,601
machine specs,596
specs training,596
training platform,596
upgrade virtual,596
virtual machine,596
additional software,594
asking permissions,594
install additional,594
permissions install,594
user asking,594
employee account,592
password employee,592
request reset,592
reset password,592
adobe creative,591
creative suite,591
design team,591
install adobe,591
suite workstation,591
workstation design,591
deletion files,585
files retired,585
request secure,585
retired desktops,585
secure deletion,585
access issues,582
issues related,582
related role,582
role change,582
troubleshoot application,582
authentication remote,581
enable multi,581
factor authentication,581
multi factor,581
remote developers,581
availability configuration,580
configuration two,580
enable high,580
high availability,580
production servers,580
two production,580
create subdomain,579
departmental website,579
new departmental,579
subdomain new,579
website launch,579
access junior,574
company branding,574
create custom,574
custom email,574
department emails,574
desktop workstation,574
email signature,574
extend mailbox,574
junior developers,574
legal department,574
mailbox retention,574
office premises,574
policy legal,574
relocation desktop,574
repository access,574
setup repository,574
signature company,574
within office,574
workstation within,574
backup jobs,573
configure backup,573
create configure,573
departmental database,573
jobs departmental,573
database replication,570
enable port,570
port redirection,570
redirection database,570
replication tasks,570
access third,568
party vendor,568
provisioning vpn,568
third party,568
vendor consultants,568
vpn access,568
access points,567
add two,567
new access,567
office network,567
points office,567
two new,567
design project,566
external storage,566
graphics design,566
provision external,566
storage graphics,566
application testing,565
create test,565
environment application,565
test environment,565
department computer,564
install licensed,564
licensed microsoft,564
microsoft visio,564
visio department,564
management tools,563
new team,563
ownership project,563
project management,563
reassign ownership,563
tools new,563
access rights,562
change access,562
folder team,562
rights shared,562
shared folder,562
create new,559
distribution list,559
group mailbox,559
list marketing,559
mailbox ownership,559
marketing team,559
move group,559
new distribution,559
new manager,559
ownership new,559
request move,559
access profiles,558
compliance audits,558
gdpr compliance,558
profiles gdpr,558
provision special,558
special access,558
backup restore,557
deleted mistake,557
files deleted,557
mistake shared,557
restore files,557
shared drive,557
access workflow,556
activate mobile,556
mobile application,556
workflow approvals,556
delete unused,554
machines non,554
non production,554
production environment,554
request delete,554
unused virtual,554
virtual machines,554
accounts recent,553
employee returning,553
enable accounts,553
recent employee,553
returning leave,553
access restricted,552
analytics intern,552
badge photo,552
container image,552
create container,552
data analytics,552
database data,552
devops team,552
employee badge,552
grant access,552
image repository,552
internal directory,552
photo internal,552
repository devops,552
restricted database,552
update employee,552
compliance purposes,550
document retention,550
modification compliance,550
policy modification,550
adjust permissions,545
handling invoices,545
inbox handling,545
permissions shared,545
request adjust,545
shared inbox,545
access site,543
enable remote,543
remote access,543
request enable,543
site servers,543
configure sso,539
external web,539
login external,539
request configure,539
sso login,539
web resource,539
conference room,538
hardware malfunctioning,538
malfunctioning conference,538
replace hardware,538
room equipment,538
alerts reporting,536
configure alerts,536
dashboard thresholds,536
reporting dashboard,536
editing performance,533
improved video,533
ram improved,533
upgrade workstation,533
video editing,533
workstation ram,533
database version,526
meet system,526
oracle database,526
system requirements,526
upgrade oracle,526
version meet,526
guest access,519
internal intranet,519
intranet services,519
request temporary,519
temporary guest,519
