Number,Short Description,Process,System,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed,Processing Time (hrs),Response Time (hrs),Total Time (hrs)
ERR-2025-00001,Incorrect amount entered - overpayment of 10x original value,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,High,Tuesday,2025-01-14T16:27:43.000000,2025-01-14T17:33:43.000000,2025-01-14T22:10:53.183405,2025-01-14T22:34:53.183405,4.6194444444444445,1.1,6.1194444444444445
ERR-2025-00002,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,High,Sunday,2025-01-05T15:51:34.000000,2025-01-05T16:45:34.000000,2025-01-05T21:26:59.259852,2025-01-05T22:25:59.259852,4.690277777777778,0.9,6.573611111111111
ERR-2025-00003,Wrong FX rate applied to customer transaction - financial loss,Rates,SOLEMOS,Avengers,Doctor Strange,In Progress,Medium,Medium,Low,Thursday,2025-01-23T05:55:21.000000,2025-01-23T06:42:21.000000,,,,0.7833333333333333,
ERR-2025-00004,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Iron Man,Closed,Medium,Medium,Medium,Thursday,2025-01-16T11:02:41.000000,2025-01-16T11:36:41.000000,2025-01-17T06:53:10.875031,2025-01-17T07:20:10.875031,19.274722222222223,0.5666666666666667,20.29138888888889
ERR-2025-00005,Edit Queue SLA breached - payment delayed beyond agreed window,Edit Q,SOLEMOS,Avengers,Iron Man,In Progress,Medium,Medium,Medium,Friday,2025-01-24T15:11:51.000000,2025-01-24T15:59:51.000000,,,,0.8,
ERR-2025-00006,Incorrect interest rate applied to overnight settlement,Rates,SOLEMOS,Avengers,Hulk,Closed,Critical,High,High,Saturday,2025-01-04T16:27:50.000000,2025-01-04T17:31:50.000000,2025-01-04T18:51:50.296706,2025-01-04T19:43:50.296706,1.3333333333333333,1.0666666666666667,3.2666666666666666
ERR-2025-00007,Operator amended wrong field in Edit Queue - further error introduced,Edit Q,SOLEMOS,Avengers,Doctor Strange,In Progress,Critical,High,Medium,Friday,2025-01-17T23:04:56.000000,2025-01-17T23:28:56.000000,,,,0.4,
ERR-2025-00008,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Iron Man,Closed,Critical,High,High,Tuesday,2025-01-14T19:21:30.000000,2025-01-14T20:23:30.000000,2025-01-14T23:16:12.746786,2025-01-15T00:19:12.746786,2.8783333333333334,1.0333333333333334,4.961666666666667
ERR-2025-00009,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,Stargate,Avengers,Iron Man,Closed,Critical,Medium,High,Sunday,2025-01-05T18:55:55.000000,2025-01-05T19:32:55.000000,2025-01-05T21:45:56.648065,2025-01-05T22:34:56.648065,2.2169444444444446,0.6166666666666667,3.6502777777777777
ERR-2025-00010,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Wednesday,2025-01-15T16:54:38.000000,2025-01-15T17:43:38.000000,2025-01-16T08:46:16.322724,2025-01-16T09:38:16.322724,15.043888888888889,0.8166666666666667,16.727222222222224
ERR-2025-00011,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,Stargate,Avengers,Hulk,Closed,Critical,High,Medium,Wednesday,2025-01-01T13:47:14.000000,2025-01-01T14:35:14.000000,2025-01-01T16:00:51.565415,2025-01-01T16:59:51.565415,1.4269444444444443,0.8,3.210277777777778
ERR-2025-00012,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Thor,Closed,Critical,High,Medium,Tuesday,2025-01-07T09:36:58.000000,2025-01-07T10:50:58.000000,2025-01-07T12:13:51.813474,2025-01-07T12:32:51.813474,1.381388888888889,1.2333333333333334,2.931388888888889
ERR-2025-00013,Edit Q item closed without resolution - payment lost in queue,Edit Q,STP CAT,Avengers,Hulk,Closed,Medium,Low,Medium,Friday,2025-01-24T17:15:58.000000,2025-01-24T18:22:58.000000,2025-01-25T08:25:49.293032,2025-01-25T09:18:49.293032,14.0475,1.1166666666666667,16.0475
ERR-2025-00014,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Iron Man,Closed,Medium,Low,Medium,Thursday,2025-01-02T19:40:04.000000,2025-01-02T19:57:04.000000,2025-01-03T10:50:46.862751,2025-01-03T11:48:46.862751,14.895,0.2833333333333333,16.145
ERR-2025-00015,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Critical,High,High,Thursday,2025-01-30T14:47:59.000000,2025-01-30T15:36:59.000000,2025-01-30T18:00:10.834001,2025-01-30T18:33:10.834001,2.386388888888889,0.8166666666666667,3.7530555555555556
ERR-2025-00016,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,High,Wednesday,2025-01-22T16:28:40.000000,2025-01-22T17:18:40.000000,2025-01-22T21:07:46.222734,2025-01-22T22:14:46.222734,3.8183333333333334,0.8333333333333334,5.7683333333333335
ERR-2025-00017,Stale rate used after feed failure - not escalated in time,Rates,SOLEMOS,Avengers,Iron Man,Closed,Medium,Low,Medium,Thursday,2025-01-16T08:20:46.000000,2025-01-16T09:39:46.000000,2025-01-17T07:37:53.899951,2025-01-17T08:12:53.899951,21.968611111111112,1.3166666666666667,23.86861111111111
ERR-2025-00018,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Friday,2025-01-17T09:14:30.000000,2025-01-17T09:36:30.000000,2025-01-17T13:41:31.597887,2025-01-17T14:00:31.597887,4.083611111111111,0.36666666666666664,4.766944444444444
ERR-2025-00019,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Hulk,Closed,High,Medium,High,Monday,2025-01-20T13:51:01.000000,2025-01-20T14:30:01.000000,2025-01-20T17:37:50.944159,2025-01-20T18:33:50.944159,3.1302777777777777,0.65,4.713611111111111
ERR-2025-00020,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,Stargate,Avengers,Thor,Closed,Critical,High,High,Friday,2025-01-17T16:23:03.000000,2025-01-17T17:49:03.000000,2025-01-17T18:28:55.285440,2025-01-17T19:41:55.285440,0.6644444444444444,1.4333333333333333,3.3144444444444443
ERR-2025-00021,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Iron Man,In Progress,High,High,Medium,Friday,2025-01-03T08:18:43.000000,2025-01-03T09:01:43.000000,,,,0.7166666666666667,
ERR-2025-00022,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,High,High,High,Wednesday,2025-01-29T12:02:19.000000,2025-01-29T12:32:19.000000,2025-01-29T15:02:36.981076,2025-01-29T15:47:36.981076,2.504722222222222,0.5,3.754722222222222
ERR-2025-00023,Incorrect amount corrected to wrong value during manual review,Edit Q,SOLEMOS,Avengers,Iron Man,Closed,Medium,Medium,Medium,Wednesday,2025-01-29T14:45:30.000000,2025-01-29T16:11:30.000000,2025-01-30T11:29:25.128972,2025-01-30T12:34:25.128972,19.29861111111111,1.4333333333333333,21.815277777777776
ERR-2025-00024,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,High,Thursday,2025-01-30T16:04:20.000000,2025-01-30T17:17:20.000000,2025-01-30T17:45:34.799307,2025-01-30T18:12:34.799307,0.47055555555555556,1.2166666666666666,2.1372222222222224
ERR-2025-00025,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,High,Medium,High,Monday,2025-01-13T11:24:53.000000,2025-01-13T11:57:53.000000,2025-01-13T14:16:28.567448,2025-01-13T15:15:28.567448,2.3097222222222222,0.55,3.8430555555555554
ERR-2025-00026,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Hulk,Closed,Low,Low,Low,Monday,2025-01-13T11:30:15.000000,2025-01-13T11:51:15.000000,2025-01-14T07:21:13.146896,2025-01-14T08:24:13.146896,19.499444444444446,0.35,20.899444444444445
ERR-2025-00027,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Thor,Closed,High,High,High,Friday,2025-01-10T13:31:35.000000,2025-01-10T13:59:35.000000,2025-01-10T16:56:01.040527,2025-01-10T18:02:01.040527,2.9405555555555556,0.4666666666666667,4.5072222222222225
ERR-2025-00028,Payment instruction processed without customer authorisation,Basic Payment,STP CAT,Avengers,Doctor Strange,Closed,High,High,Medium,Monday,2025-01-06T10:55:37.000000,2025-01-06T11:18:37.000000,2025-01-06T16:52:11.844357,2025-01-06T18:22:11.844357,5.559444444444445,0.38333333333333336,7.442777777777778
ERR-2025-00029,Payment not reversed after customer dispute was resolved,Basic Payment,STP CAT,Avengers,Thor,Closed,Low,Low,Low,Tuesday,2025-01-21T14:46:38.000000,2025-01-21T15:11:38.000000,2025-01-22T11:32:07.107959,2025-01-22T12:38:07.107959,20.34138888888889,0.4166666666666667,21.858055555555556
ERR-2025-00030,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Thor,On Hold,High,High,High,Wednesday,2025-01-08T10:11:48.000000,,,,,,
