Number,Type of Payment,Process,System,Volume,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed
INC-2025-00001,International Transfer,International Transfer,Stargate,50,Avengers,Thor,Closed,High,High,Medium,Wednesday,2025-01-01T15:30:52.000000,2025-01-01T16:15:52.000000,2025-01-02T03:05:26.886271,2025-01-02T04:09:26.886271
INC-2025-00002,SEPA Payment,SEPA Payment,STP CAT,45413,Avengers,Doctor Strange,Closed,Low,Low,Low,Wednesday,2025-01-01T09:31:49.000000,2025-01-01T10:10:49.000000,2025-01-02T20:59:53.355726,2025-01-02T21:45:53.355726
INC-2025-00003,Domestic Payment,Domestic Payment,STP CAT,18732,DC,Punisher,Closed,Medium,Low,Medium,Wednesday,2025-01-01T19:06:16.000000,2025-01-01T19:45:16.000000,2025-01-03T05:01:59.417937,2025-01-03T05:59:59.417937
INC-2025-00004,SEPA Payment,SEPA Payment,Stargate,96507,Avengers,Doctor Strange,On Hold,Medium,Medium,Medium,Wednesday,2025-01-01T17:10:59.000000,,,
INC-2025-00005,SEPA Payment,SEPA Payment,Stargate,92767,Avengers,Doctor Strange,Closed,Critical,High,High,Wednesday,2025-01-01T17:23:36.000000,2025-01-01T18:42:36.000000,2025-01-01T19:38:41.709475,2025-01-01T20:05:41.709475
INC-2025-00006,Proces X,Proces X,SOLEMOS,248,Avengers,Hulk,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T09:49:13.000000,2025-01-01T11:13:13.000000,2025-01-02T10:30:42.437346,2025-01-02T11:29:42.437346
INC-2025-00007,SEPA Payment,SEPA Payment,Stargate,57437,Avengers,Iron Man,Closed,Medium,Medium,Low,Wednesday,2025-01-01T21:59:52.000000,2025-01-01T22:42:52.000000,2025-01-02T09:05:32.941701,2025-01-02T09:55:32.941701
INC-2025-00008,SEPA Payment,SEPA Payment,Stargate,94153,Avengers,Thor,Closed,Low,Low,Low,Wednesday,2025-01-01T14:16:40.000000,2025-01-01T15:28:40.000000,2025-01-03T02:47:55.722446,2025-01-03T03:41:55.722446
INC-2025-00009,Basic Payment,Basic Payment,STP CAT,4636,DC,Batman,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T12:04:02.000000,2025-01-01T12:50:02.000000,2025-01-02T11:47:43.960738,2025-01-02T12:47:43.960738
INC-2025-00010,International Transfer,International Transfer,Stargate,3,Avengers,Hulk,Closed,Medium,Low,Medium,Wednesday,2025-01-01T17:19:37.000000,2025-01-01T18:12:37.000000,2025-01-02T06:42:23.187976,2025-01-02T07:27:23.187976
INC-2025-00011,Proces X,Proces X,SOLEMOS,39,DC,Aquaman,Closed,High,Medium,Low,Wednesday,2025-01-01T02:22:57.000000,2025-01-01T03:24:57.000000,2025-01-01T14:34:05.285456,2025-01-01T15:49:05.285456
INC-2025-00012,SEPA Payment,SEPA Payment,Stargate,6306,Avengers,Iron Man,New,Medium,Medium,Low,Wednesday,2025-01-01T14:21:31.000000,,,
INC-2025-00013,Basic Payment,Basic Payment,STP CAT,4175,Avengers,Hulk,Closed,Low,Low,Low,Wednesday,2025-01-01T09:43:11.000000,2025-01-01T10:00:11.000000,2025-01-02T20:45:49.634397,2025-01-02T22:06:49.634397
INC-2025-00014,Basic Payment,Basic Payment,STP CAT,4073,People,Kevin Hart,Closed,High,High,High,Wednesday,2025-01-01T09:16:53.000000,2025-01-01T10:16:53.000000,2025-01-02T01:35:42.424387,2025-01-02T02:23:42.424387
INC-2025-00015,Domestic Payment,Domestic Payment,STP CAT,17760,DC,Dr. X,Closed,Medium,Low,Medium,Wednesday,2025-01-01T10:22:51.000000,2025-01-01T11:04:51.000000,2025-01-02T10:25:10.628296,2025-01-02T11:06:10.628296
INC-2025-00016,Basic Payment,Basic Payment,STP CAT,172,People,Mark,Closed,Low,Low,Low,Wednesday,2025-01-01T12:12:50.000000,2025-01-01T12:48:50.000000,2025-01-02T08:11:33.374373,2025-01-02T08:50:33.374373
INC-2025-00017,Proces X,Proces X,SOLEMOS,246,DC,Batman,Closed,Low,Low,Low,Wednesday,2025-01-01T01:49:56.000000,2025-01-01T02:04:56.000000,2025-01-01T18:56:53.051933,2025-01-01T19:59:53.051933
INC-2025-00018,International Transfer,International Transfer,Stargate,1,Avengers,Hulk,On Hold,Medium,Medium,Medium,Wednesday,2025-01-01T13:54:00.000000,,,
INC-2025-00019,Domestic Payment,Domestic Payment,STP CAT,15509,DC,Batman,Closed,Medium,Low,Medium,Wednesday,2025-01-01T07:35:10.000000,2025-01-01T07:45:10.000000,2025-01-02T10:10:23.530488,2025-01-02T11:26:23.530488
INC-2025-00020,SEPA Payment,SEPA Payment,Stargate,16779,Avengers,Doctor Strange,Closed,High,High,Medium,Wednesday,2025-01-01T11:05:09.000000,2025-01-01T12:29:09.000000,2025-01-02T03:48:33.645423,2025-01-02T04:22:33.645423
INC-2025-00021,Basic Payment,Basic Payment,STP CAT,3806,DC,Punisher,Closed,Medium,Medium,Low,Wednesday,2025-01-01T05:11:35.000000,2025-01-01T05:32:35.000000,2025-01-02T05:25:04.629288,2025-01-02T06:25:04.629288
INC-2025-00022,Basic Payment,Basic Payment,STP CAT,3171,People,Scarlett Johansson,Closed,High,High,Medium,Wednesday,2025-01-01T12:26:59.000000,2025-01-01T13:23:59.000000,2025-01-01T20:07:23.204007,2025-01-01T21:32:23.204007
INC-2025-00023,Money Rates,Money Rates,SOLEMOS,2,Avengers,Thor,In Progress,Medium,Medium,Medium,Wednesday,2025-01-01T23:58:57.000000,2025-01-02T00:25:57.000000,,
INC-2025-00024,Domestic Payment,Domestic Payment,STP CAT,12357,DC,Punisher,Closed,Low,Low,Low,Wednesday,2025-01-01T13:10:59.000000,2025-01-01T14:18:59.000000,2025-01-03T18:00:16.314195,2025-01-03T19:18:16.314195
INC-2025-00025,International Transfer,International Transfer,Stargate,46,Avengers,Iron Man,Closed,High,High,High,Wednesday,2025-01-01T12:39:23.000000,2025-01-01T13:48:23.000000,2025-01-02T00:53:52.161007,2025-01-02T01:56:52.161007
INC-2025-00026,Proces X,Proces X,SOLEMOS,27,DC,Aquaman,Closed,Critical,Medium,High,Wednesday,2025-01-01T10:38:07.000000,2025-01-01T11:27:07.000000,2025-01-01T14:42:44.659118,2025-01-01T15:46:44.659118
INC-2025-00027,Basic Payment,Basic Payment,STP CAT,2858,DC,Aquaman,Closed,Low,Low,Low,Wednesday,2025-01-01T12:40:17.000000,2025-01-01T13:44:17.000000,2025-01-03T15:42:19.142173,2025-01-03T16:30:19.142173
INC-2025-00028,International Transfer,International Transfer,Stargate,12,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T14:55:57.000000,2025-01-01T15:51:57.000000,2025-01-02T00:25:33.250021,2025-01-02T00:59:33.250021
INC-2025-00029,International Transfer,International Transfer,Stargate,34,DC,Batman,Closed,High,High,Medium,Wednesday,2025-01-01T17:22:33.000000,2025-01-01T18:47:33.000000,2025-01-02T08:17:32.676504,2025-01-02T09:11:32.676504
